Filename,Author,DateUTC,Week
app/src/main/java/com/scottyab/rootbeer/sample/MainActivity.java,andyb129,2016-07-01T14:40:45Z,54
app/src/main/java/com/scottyab/rootbeer/sample/MainActivity.java,Mohammed Ezzat,2016-03-16T14:14:44Z,38
app/src/main/java/com/scottyab/rootbeer/sample/MainActivity.java,scottyab,2015-09-16T12:14:10Z,12
app/src/main/java/com/scottyab/rootbeer/sample/MainActivity.java,scottyab,2015-06-30T14:45:12Z,1
app/src/main/java/com/scottyab/rootbeer/sample/MainActivity.java,scottyab,2015-06-30T14:14:08Z,1
app/src/main/java/com/scottyab/rootbeer/sample/MainActivity.java,scottyab,2015-06-29T13:06:14Z,1
app/src/main/java/com/scottyab/rootbeer/sample/MainActivity.java,scottyab,2015-06-26T15:50:40Z,1
app/src/main/java/com/scottyab/rootbeer/sample/TextViewFont.java,scottyab,2021-05-08T14:18:37Z,307
app/src/main/java/com/scottyab/rootbeer/sample/TextViewFont.java,danielkutik,2019-11-16T02:39:54Z,230
app/src/main/java/com/scottyab/rootbeer/sample/TextViewFont.java,danielkutik,2019-11-16T02:34:24Z,230
app/src/main/java/com/scottyab/rootbeer/sample/TextViewFont.java,friederbluemle,2017-05-11T16:55:33Z,98
app/src/main/java/com/scottyab/rootbeer/sample/TextViewFont.java,andyb129,2016-07-01T14:40:45Z,54
rootbeerlib/src/main/java/com/scottyab/rootbeer/Const.java,scottyab,2021-05-08T14:18:37Z,307
rootbeerlib/src/main/java/com/scottyab/rootbeer/Const.java,Fi5t,2020-07-15T20:47:49Z,264
rootbeerlib/src/main/java/com/scottyab/rootbeer/Const.java,mat,2020-01-30T13:09:02Z,240
rootbeerlib/src/main/java/com/scottyab/rootbeer/Const.java,mat,2020-01-28T14:06:12Z,240
rootbeerlib/src/main/java/com/scottyab/rootbeer/Const.java,BlizzedRu,2019-12-09T10:32:18Z,233
rootbeerlib/src/main/java/com/scottyab/rootbeer/Const.java,stealthcopter,2019-03-14T12:24:58Z,194
rootbeerlib/src/main/java/com/scottyab/rootbeer/Const.java,p2paltvnv,2018-03-16T16:42:19Z,143
rootbeerlib/src/main/java/com/scottyab/rootbeer/Const.java,p2paltvnv,2018-03-16T12:02:21Z,143
rootbeerlib/src/main/java/com/scottyab/rootbeer/Const.java,p2paltvnv,2018-03-16T11:36:53Z,143
rootbeerlib/src/main/java/com/scottyab/rootbeer/Const.java,stealthcopter,2017-03-24T13:30:47Z,92
rootbeerlib/src/main/java/com/scottyab/rootbeer/Const.java,Mohammed Ezzat,2016-03-15T13:13:43Z,38
rootbeerlib/src/main/java/com/scottyab/rootbeer/Const.java,scottyab,2015-09-16T12:13:36Z,12
rootbeerlib/src/main/java/com/scottyab/rootbeer/Const.java,scottyab,2015-06-30T14:59:48Z,1
rootbeerlib/src/main/java/com/scottyab/rootbeer/Const.java,stealthcopter,2015-06-30T13:40:46Z,1
rootbeerlib/src/main/java/com/scottyab/rootbeer/Const.java,scottyab,2015-06-29T13:06:59Z,1
rootbeerlib/src/main/java/com/scottyab/rootbeer/Const.java,scottyab,2015-06-26T15:50:40Z,1
rootbeerlib/src/test/java/com/scottyab/rootbeer/RootBeerTest.java,scottyab,2021-05-08T14:18:37Z,307
rootbeerlib/src/test/java/com/scottyab/rootbeer/RootBeerTest.java,stealthcopter,2020-02-03T20:42:40Z,241
rootbeerlib/src/test/java/com/scottyab/rootbeer/RootBeerTest.java,danielkutik,2020-01-31T00:54:28Z,240
rootbeerlib/src/test/java/com/scottyab/rootbeer/RootBeerTest.java,mat,2020-01-30T16:12:36Z,240
rootbeerlib/src/test/java/com/scottyab/rootbeer/RootBeerTest.java,mat,2020-01-28T13:03:18Z,240
rootbeerlib/src/test/java/com/scottyab/rootbeer/RootBeerTest.java,danielkutik,2019-11-16T02:34:24Z,230
rootbeerlib/src/test/java/com/scottyab/rootbeer/RootBeerTest.java,stealthcopter,2019-03-14T12:24:58Z,194
rootbeerlib/src/test/java/com/scottyab/rootbeer/RootBeerTest.java,stealthcopter,2018-05-11T13:16:33Z,151
rootbeerlib/src/test/java/com/scottyab/rootbeer/RootBeerTest.java,stealthcopter,2017-10-31T18:57:32Z,123
rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeer.java,namouchislim,2020-07-21T13:19:44Z,265
rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeer.java,stealthcopter,2020-07-21T13:10:44Z,265
rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeer.java,mat,2020-02-07T09:43:09Z,242
rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeer.java,stealthcopter,2020-01-30T13:05:20Z,240
rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeer.java,mat,2020-01-28T14:06:12Z,240
rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeer.java,mat,2020-01-28T13:03:18Z,240
rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeer.java,mat,2020-01-28T12:41:49Z,240
rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeer.java,BlizzedRu,2019-12-09T10:32:18Z,233
rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeer.java,stealthcopter,2019-03-14T12:24:58Z,194
rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeer.java,stealthcopter,2018-05-11T12:00:38Z,151
rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeer.java,stealthcopter,2018-05-11T11:04:28Z,151
rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeer.java,stealthcopter,2018-05-11T10:59:44Z,151
rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeer.java,p2paltvnv,2018-03-16T16:49:07Z,143
rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeer.java,p2paltvnv,2018-03-16T16:42:19Z,143
rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeer.java,p2paltvnv,2018-03-16T12:14:23Z,143
rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeer.java,stealthcopter,2017-09-29T08:23:05Z,118
